Galaxy2025 SPP,,,,,,Go to B2C Cart Page,,,,,Via buy page,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
Assigned,Test Case,,,,,,,,,,9,Price,,Step >>,Step >>,Verify >>,Step >>,,Verify >>,Step >>,,Verify >>,Step >>,,,Verify >>,Step >>,Step >>,Special >>,Step >>,Verify >>,Verify >>,Mass premiums,,,,,,,,,,Array,Total,Verify >>,,Cart Page Result >>,,,Step >>,Step >>,Verify >>,Step >>,Verify >>,Verify >>,Verify >>,Checkout Page Result >> END OF TEST,,,,,,,,Automated Tests by UI Visions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automated Test Result,Test duration (s),,Auto Cart,Last Updated,,,,,
Tester,ID,Auto Cart,Premiunm Qty,Auto Checkout,Manual Cart,Model,Bsse SKU + STORAGE,BC,SKU,Link,SKU + Link,RRP,NRP,Login,Password,Verify Price before Discount,Trade-in,Trade-in-type,Verify extra trade-in rebate,"SC+ 
(Hong Kong)",SC-type,"Verify SC+ 
in Cart",Galaxy Credits ,GC-type,GC discount,Verify GC discount,Promo Code Type,Add Promo Code,Special discount after adding to cart,Add to Cart,Verify Product Price in Cart after Discount (Not total price in cart),Verify pre-order or back-order delivery date,Mass - 1-28 Feb,Mass - 1-28 Feb,Mass - 1-28 Feb,Mass - 1-14 Feb,Mass - 1-13 Feb,Mass Campaign,EPP Only,EPP Only,"No-trade-in
offer","No-trade-in
offer",Array,Total Gifts,"Verify Free Premiums in Cart (SKU)
(Exact Match)","Verify Expired Premiums 
NOT SHOWING in Cart",Cart Page Result,Screencap,Reason of fail,Proceed to Chckout,"Guest or login, proceed to delivery option",Verify these Delivery Option available,Delivery method action,Verify these criteria,,Verify Expected Delivery Date,Checkout Page Result,Screencap of Step 2 Delivery Option,Reason of fail,,Fix Status,eStore reply,CPT eStore team PIC,,Time of Test,Line No.,ID,SKU,Model,SKU Price label,SKU Price captured,SKU result,GC label,GC captured,GC result,SKU price in cart,SKU price captured,SKU price result,GC in cart,GC cart captured,GC cart result,Extra Trade-In Rebate label,Trade-In Rebate captured,Trade-In Rebate result,SC+ label,SC+ captured,SC+ result,Premium SKU count,Count captured,Premium SKU count result,Failed reason,Items in Cart,SKU 1,Qty,,SKU 2,Qty,,SKU 3,Qty,,SKU 4,Qty,,SKU 5,Qty,,SKU 6,Qty,,SKU 7,Qty,,SKU 8,Qty,,SKU 9,Qty,,SKU 10,Qty,,Qty Total,Qty Total Result,Premium Array,Final Result,Test duration (s),,Cart Page Result,Last Updated,,Holiday 20th,Holiday 21st,Holiday 22nd,
,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,0,,,,,-150.00,,,,,, ,,,,,, ,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,"


"
,PA,,,,,,,-,,,,0,0,,,0,,,0,,,0,,,0,0,,,,,-150.00,,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Kristin,PA3-SHOPAPP,,,,,"Galaxy S25 Ultra, 1TB+16GB, Titanium Black","SM-S9380, 1TB",Y,SM-S9380ZKWTGY,https://www.samsung.com/hk/multistore/hkeducation/buy.SM-S9380ZKWTGY,SM-S9380ZKWTGY,"13,398","11,226",cptqaer+2@gmail.com,!Cheil2024,"11,226",No,,0,Yes,S25 Series,998,Use GC,S25 Ultra,350,350,,,,Add to Cart,"11,076.00",2025/02/11,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Kristin,PA3-HR-TI,,,,,"Galaxy S25 Ultra, 1TB+16GB, Titanium Black","SM-S9380, 1TB",Y,SM-S9380ZKWTGY,https://www.samsung.com/hk/multistore/hkeducation/buy.SM-S9380ZKWTGY,SM-S9380ZKWTGY,"13,398","11,226",cptqaer+2@gmail.com,!Cheil2024,"11,226",Yes,,0,Yes,S25 Series,998,Use GC,S25 Ultra,350,350,PA HR (eDM),Y3W-SBE5-RGWY-B7ER,,Add to Cart,"11,076.00",2025/02/11,Z-TRADEIN300,,,,,,,,,,Z-TRADEIN300,1,"
●  1 x  Extra HK$300 Trade-in Rebate [Z-TRADEIN300]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Kristin,PA3-HR-NTI,,,,,"Galaxy S25 Ultra, 1TB+16GB, Titanium Black","SM-S9380, 1TB",Y,SM-S9380ZKWTGY,https://www.samsung.com/hk/multistore/hkeducation/buy.SM-S9380ZKWTGY,SM-S9380ZKWTGY,"13,398","11,226",cptqaer+2@gmail.com,!Cheil2024,"11,226",No,,0,No,S25 Series,0,Use GC,S25 Ultra (HR without TI),650,650,PA HR (eDM 2 (SPP)),Y5W-7Z9L-SESR-222E,,Add to Cart,"11,076.00",2025/02/11,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Kristin,PA3-CRM-TI,,,,,"Galaxy S25 Ultra, 512GB+12GB, Titanium Black","SM-S9380, 512GB",Y,SM-S9380ZKGTGY,https://www.samsung.com/hk/multistore/hkeducation/buy.SM-S9380ZKGTGY,SM-S9380ZKGTGY,"10,898","9,306",cptqaer+2@gmail.com,!Cheil2024,"9,306",Yes,,0,Yes,S25 Series,998,Use GC,S25 Ultra (CRM with TI),550,550,PA CRM Event  (WhatsApp),W1Y-LPEY-G9YG-9R9B,,Add to Cart,"9,156.00",2025/02/11,Z-TRADEIN300,Z-ITFITPW28-M,,,,,,,,,"Z-TRADEIN300,Z-ITFITPW28-M",2,"
●  1 x  Extra HK$300 Trade-in Rebate [Z-TRADEIN300]
●  1 x  ITFIT 45W Fast Charging Kit [Z-ITFITPW28-M]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Kristin,PA3-CRM-NTI,,,,,"Galaxy S25 Ultra, 256GB+12GB, Titanium Black","SM-S9380, 256GB",Y,SM-S9380ZKDTGY,https://www.samsung.com/hk/multistore/hkeducation/buy.SM-S9380ZKDTGY,SM-S9380ZKDTGY,"9,898","9,106",cptqaer+2@gmail.com,!Cheil2024,"9,106",No,,0,No,S25 Series,0,Use GC,S25 Ultra (CRM without TI),850,850,PA Samsung Live (WhatsApp),WY1-LEWK-N75M-CRNA,,Add to Cart,"8,956.00",2025/02/11,,Z-ITFITPW28-M,,,,,,,,,Z-ITFITPW28-M,1,"
●  1 x  ITFIT 45W Fast Charging Kit [Z-ITFITPW28-M]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Kristin,PA2,,,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive","SM-S9360, 512GB",Y,SM-S9360ZKGTGY,https://www.samsung.com/hk/multistore/hkeducation/buy.SM-S9360ZKGTGY,SM-S9360ZKGTGY,"8,598","7,490",cptqaer+2@gmail.com,!Cheil2024,"7,490",No,,0,Yes,S25 Series,998,Use GC,S25+,300,300,,,,Add to Cart,"7,340.00",2025/02/11,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
